Temperature,Growth,Metal_source,Metal_amount (g),Metal_mmol (mmol),Metal_concentration (mmol/g),Chalcogen_source,Chalcogen_amount (g),Chalcogen_mmol (mmol),Chalcogen_concentration (mmol/g),Metal/Se_ratio,Carboxylic_Acid,CA_amount (g),CA_mmol (mmol),Cd/CA_ratio,Amines,Amines_amount (g),Phosphines,Phosphines_amount (g),Phosphines_mmol (mmol),Chalcogen/Ph_ratio,Solvent I,S_I_amount (g),Solvent II,S_II_amount (g),Total_amount (g),Time_min (min),Purification antisolvent,Diameter_nm,FWHM (nm),Absorbance max (nm),PL max (nm),PLQY (%),Phase,Diameter from,Citation
225,225,cadmium oxide,0.01,0.1,0.01,Se powder,0.03,0.38,0.04,0.27,oleic acid,0.54,1.9,0.05,None,0,trioctylphosphine,0.33,0.9,0.42,octadecene,7.89,None,0,8.8,0.5,,2.5,,474,617,None,,TEM,Colloids and Surfaces A: Physicochemical and Engineering Aspects 2016 494 162 - 169
255,255,cadmium oxide,0.05,0.39,0.16,Se powder,0.01,0.13,0.05,3.1,stearic acid,1.6,5.66,0.07,None,0,tributylphosphine,0.82,2.21,0.06,None,0,None,0,2.48,0.17,methanol & chloroform,2.6,,526,556,None,,TEM,Colloids and Surfaces A: Physicochemical and Engineering Aspects 2014 461 (1).158-166
255,255,cadmium oxide,0.05,0.39,0.16,Se powder,0.01,0.13,0.05,3.1,stearic acid,1.6,5.66,0.07,None,0,tributylphosphine,0.82,2.21,0.06,None,0,None,0,2.48,0.34,methanol & chloroform,3.2,,559,580,None,,TEM,Colloids and Surfaces A: Physicochemical and Engineering Aspects 2014 461 (1).158-166
255,255,cadmium oxide,0.05,0.39,0.16,Se powder,0.01,0.13,0.05,3.1,stearic acid,1.6,5.66,0.07,None,0,tributylphosphine,0.82,2.21,0.06,None,0,None,0,2.48,0.68,methanol & chloroform,3.6,,574,598,None,,TEM,Colloids and Surfaces A: Physicochemical and Engineering Aspects 2014 461 (1).158-166
255,255,cadmium oxide,0.05,0.39,0.16,Se powder,0.01,0.13,0.05,3.1,stearic acid,1.6,5.66,0.07,None,0,tributylphosphine,0.82,2.21,0.06,None,0,None,0,2.48,1,methanol & chloroform,3.9,,582,601,None,,TEM,Colloids and Surfaces A: Physicochemical and Engineering Aspects 2014 461 (1).158-166
260,260,cadmium oxide,0.33,2.57,0.13,Se powder,0.23,2.85,0.15,0.9,oleic acid,16.11,57.03,0.04,None,0,trioctylphosphine,2.49,6.74,0.42,None,0,None,0,19.16,0.45,ethanol,3.23,,556,562,None,,TEM,Chemical Engineering Journal 2017 320 232-243
260,260,cadmium oxide,0.33,2.57,0.13,Se powder,0.23,2.85,0.15,0.9,oleic acid,16.11,57.03,0.04,None,0,trioctylphosphine,2.49,6.74,0.42,None,0,None,0,19.16,0.82,ethanol,3.61,,570,577,None,,TEM,Chemical Engineering Journal 2017 320 232-243
260,260,cadmium oxide,0.33,2.57,0.13,Se powder,0.23,2.85,0.15,0.9,oleic acid,16.11,57.03,0.04,None,0,trioctylphosphine,2.49,6.74,0.42,None,0,None,0,19.16,1.17,ethanol,3.86,,574,588,None,,TEM,Chemical Engineering Journal 2017 320 232-243
260,260,cadmium oxide,0.33,2.57,0.13,Se powder,0.23,2.85,0.15,0.9,oleic acid,16.11,57.03,0.04,None,0,trioctylphosphine,2.49,6.74,0.42,None,0,None,0,19.16,7.5,ethanol,4.74,,605,624,None,,TEM,Chemical Engineering Journal 2017 320 232-243
280,250,cadmium oxide,0.01,0.1,0.02,Se powder,0.01,0.1,0.02,1,oleic acid,0.27,0.95,0.11,None,0,trioctylphosphine,1.66,4.49,0.02,octadecene,3.95,None,0,5.9,20,methanol & acetone ,3.7,,578,580,None,,TEM,J. Phys. Chem. C 2011 115 27 13236 - 13241
320,280,cadmium oxide,0.08,0.65,0.03,Se powder,0.05,0.65,0.03,1,stearic acid,0.9,3.18,0.2,hexadecylamine,9.73,trioctylphosphine,5.19,14.03,0.05,trioctylphosphine oxide,9.83,None,0,25.79,1,ethanol & acetone,3.7,,577,600,None,,TEM,International Journal of Photoenergy.2012. Article ID 952610
320,280,cadmium oxide,0.08,0.65,0.03,Se powder,0.05,0.65,0.03,1,stearic acid,0.9,3.18,0.2,hexadecylamine,9.73,trioctylphosphine,5.19,14.03,0.05,trioctylphosphine oxide,9.83,None,0,25.79,0.66,ethanol & acetone,2.9,,543,577,None,,TEM,International Journal of Photoenergy.2012. Article ID 952610
320,280,cadmium oxide,0.08,0.65,0.03,Se powder,0.05,0.65,0.03,1,stearic acid,0.9,3.18,0.2,hexadecylamine,9.73,trioctylphosphine,5.19,14.03,0.05,trioctylphosphine oxide,9.83,None,0,25.79,0.33,ethanol & acetone,2.69,,530,547,None,,TEM,International Journal of Photoenergy.2012. Article ID 952610
320,280,cadmium oxide,0.08,0.65,0.03,Se powder,0.05,0.65,0.03,1,stearic acid,0.9,3.18,0.2,hexadecylamine,9.73,trioctylphosphine,5.19,14.03,0.05,trioctylphosphine oxide,9.83,None,0,25.79,166,ethanol & acetone,2.39,,506,505,None,,TEM,International Journal of Photoenergy.2012. Article ID 952610
230,230,cadmium oxide,0.026,0.2,0.2,Se powder,0.158,2,0.19,1.01,oleic acid,0.1695,0.6,3.33,hexadecylamine,0.145,trioctylphosphine,1.66,4.49,0.44,octadecene,7.89,None,0,10.0485,0.0833,methanol & propanol,2.22,,473,488,6.4,,TEM,Chem. Mater. 2009 21 1743 - 1749
210,210,cadmium oxide,0.026,0.2,0.2,Se powder,0.158,2,0.19,1.01,oleic acid,0.1695,0.6,3.33,hexadecylamine,0.145,trioctylphosphine,1.66,4.49,0.44,octadecene,7.89,None,0,10.0485,0.0833,methanol & propanol,1.9,,459,477,1.9,,TEM,Chem. Mater. 2009 21 1743 - 1749
190,190,cadmium oxide,0.026,0.2,0.2,Se powder,0.158,2,0.19,1.01,oleic acid,0.1695,0.6,3.33,hexadecylamine,0.145,trioctylphosphine,1.66,4.49,0.44,octadecene,7.89,None,0,10.0485,0.0833,methanol & propanol,1.8,,440,459,1.6,,TEM,Chem. Mater. 2009 21 1743 - 1749
170,170,cadmium oxide,0.026,0.2,0.2,Se powder,0.158,2,0.19,1.01,oleic acid,0.1695,0.6,3.33,hexadecylamine,0.145,trioctylphosphine,1.66,4.49,0.44,octadecene,7.89,None,0,10.0485,0.0833,methanol & propanol,1.6,,427,454,0.8,,TEM,Chem. Mater. 2009 21 1743 - 1749
300,300,dimethylcadmium,0.19,1.35,0.07,Se powder,0.08,0.99,0.05,1.37,None,0,0,0,hexadecylamine,5,trioctylphosphine,0.83,2.24,0.44,trioctylphosphine oxide,14.16,None,0,20.26,18,methanol,3.9,,520,535,None,,TEM,Nano Letters 2001 1 4 207 - 211
300,300,dimethylcadmium,0.19,1.35,0.07,Se powder,0.08,0.99,0.05,1.37,None,0,0,0,hexadecylamine,5,trioctylphosphine,0.83,2.24,0.44,trioctylphosphine oxide,14.16,None,0,20.26,50,methanol,4.07,,548,558,None,,TEM,Nano Letters 2001 1 4 207 - 211
300,300,dimethylcadmium,0.19,1.35,0.07,Se powder,0.08,0.99,0.05,1.37,None,0,0,0,hexadecylamine,5,trioctylphosphine,0.83,2.24,0.44,trioctylphosphine oxide,14.16,None,0,20.26,100,methanol,4.19,,570,580,None,,TEM,Nano Letters 2001 1 4 207 - 211
300,300,dimethylcadmium,0.19,1.35,0.07,Se powder,0.08,0.99,0.05,1.37,None,0,0,0,hexadecylamine,5,trioctylphosphine,0.83,2.24,0.44,trioctylphosphine oxide,14.16,None,0,20.26,150,methanol,4.3,,580,590,None,,TEM,Nano Letters 2001 1 4 207 - 211
300,300,dimethylcadmium,0.19,1.35,0.07,Se powder,0.08,0.99,0.05,1.37,None,0,0,0,hexadecylamine,5,trioctylphosphine,0.83,2.24,0.44,trioctylphosphine oxide,14.16,None,0,20.26,200,methanol,4.39,,595,600,None,,TEM,Nano Letters 2001 1 4 207 - 211
300,300,dimethylcadmium,0.19,1.35,0.07,Se powder,0.08,0.99,0.05,1.37,None,0,0,0,hexadecylamine,5,trioctylphosphine,0.83,2.24,0.44,trioctylphosphine oxide,14.16,None,0,20.26,228,methanol,4.9,,630,640,None,,TEM,Nano Letters 2001 1 4 207 - 211
300,300,dimethylcadmium,0.19,1.35,0.07,Se powder,0.08,0.99,0.05,1.37,None,0,0,0,hexadecylamine,5,trioctylphosphine,0.83,2.24,0.44,trioctylphosphine oxide,14.16,None,0,20.26,250,methanol,5.05,,640,650,None,,TEM,Nano Letters 2001 1 4 207 - 211
250,250,cadmium stearate,0.2,0.3,0.02,Se powder,0.02,0.3,0.02,1.01,None,0,0,0,oleylamine,5,tributylphosphine,4,10.8,0.03,trioctylphosphine oxide,5,None,0,14.23,0.167,methanol,1.92,,460,470,None,Zinc Blende,TEM,Chemistry Letters 2005 34 7 1004 - 1005
250,250,cadmium stearate,0.2,0.3,0.02,Se powder,0.02,0.3,0.02,1.01,None,0,0,0,oleylamine,5,tributylphosphine,4,10.8,0.03,trioctylphosphine oxide,5,None,0,14.23,5,methanol,2.87,,540,550,None,Zinc Blende,TEM,Chemistry Letters 2005 34 7 1004 - 1005
250,250,cadmium stearate,0.2,0.3,0.02,Se powder,0.02,0.3,0.02,1.01,None,0,0,0,oleylamine,5,tributylphosphine,4,10.8,0.03,trioctylphosphine oxide,5,None,0,14.23,15,methanol,3.02,,550,565,None,Zinc Blende,TEM,Chemistry Letters 2005 34 7 1004 - 1005
250,250,cadmium stearate,0.2,0.3,0.02,Se powder,0.02,0.3,0.02,1.01,None,0,0,0,oleylamine,5,tributylphosphine,4,10.8,0.03,trioctylphosphine oxide,5,None,0,14.23,30,methanol,3.15,,555,570,None,Zinc Blende,TEM,Chemistry Letters 2005 34 7 1004 - 1005
250,250,cadmium stearate,0.2,0.3,0.02,Se powder,0.02,0.3,0.02,1.01,None,0,0,0,oleylamine,5,tributylphosphine,4,10.8,0.03,trioctylphosphine oxide,5,None,0,14.23,60,methanol,3.38,,565,575,None,Zinc Blende,TEM,Chemistry Letters 2005 34 7 1004 - 1005
250,250,cadmium stearate,0.2,0.3,0.02,Se powder,0.02,0.3,0.02,1.01,None,0,0,0,oleylamine,5,tributylphosphine,4,10.8,0.03,trioctylphosphine oxide,5,None,0,14.23,180,methanol,3.57,,580,580,None,Zinc Blende,TEM,Chemistry Letters 2005 34 7 1004 - 1005
280,280,cadmium oxide,0.1,0.8,0.05,Se powder,0.03,0.4,0.02,2.02,myrstic acid,0.55,1.94,0.41,None,0,None,0,0,0,octadecene,15.78,None,0,16.46,0.03,2-propanol and methanol,1.3,,410,435,None,Zinc Blende,TEM,Optical Materials. 2017 66 59 - 64
280,280,cadmium oxide,0.1,0.8,0.05,Se powder,0.03,0.4,0.02,2.02,myrstic acid,0.55,1.94,0.41,None,0,None,0,0,0,octadecene,15.78,None,0,16.46,0.08,2-propanol and methanol,1.7,,435,455,None,Zinc Blende,TEM,Optical Materials. 2017 66 59 - 64
280,280,cadmium oxide,0.1,0.8,0.05,Se powder,0.03,0.4,0.02,2.02,myrstic acid,0.55,1.94,0.41,None,0,None,0,0,0,octadecene,15.78,None,0,16.46,0.17,2-propanol and methanol,2.1,,470,480,None,Zinc Blende,TEM,Optical Materials. 2017 66 59 - 64
280,280,cadmium oxide,0.1,0.8,0.05,Se powder,0.03,0.4,0.02,2.02,myrstic acid,0.55,1.94,0.41,None,0,None,0,0,0,octadecene,15.78,None,0,16.46,0.33,2-propanol and methanol,2.5,,490,515,None,Zinc Blende,TEM,Optical Materials. 2017 66 59 - 64
280,280,cadmium oxide,0.1,0.8,0.05,Se powder,0.03,0.4,0.02,2.02,myrstic acid,0.55,1.94,0.41,None,0,None,0,0,0,octadecene,15.78,None,0,16.46,0.5,2-propanol and methanol,2.8,,508,525,None,Zinc Blende,TEM,Optical Materials. 2017 66 59 - 64
280,280,cadmium oxide,0.1,0.8,0.05,Se powder,0.03,0.4,0.02,2.02,myrstic acid,0.55,1.94,0.41,None,0,None,0,0,0,octadecene,15.78,None,0,16.46,0.67,2-propanol and methanol,2.9,,512,528,None,Zinc Blende,TEM,Optical Materials. 2017 66 59 - 64
280,280,cadmium oxide,0.1,0.8,0.05,Se powder,0.03,0.4,0.02,2.02,myrstic acid,0.55,1.94,0.41,None,0,None,0,0,0,octadecene,15.78,None,0,16.46,0.83,2-propanol and methanol,3.1,,520,530,None,Zinc Blende,TEM,Optical Materials. 2017 66 59 - 64
280,280,cadmium oxide,0.1,0.8,0.05,Se powder,0.03,0.4,0.02,2.02,myrstic acid,0.55,1.94,0.41,None,0,None,0,0,0,octadecene,15.78,None,0,16.46,1,2-propanol and methanol,3.3,,523,535,None,Zinc Blende,TEM,Optical Materials. 2017 66 59 - 64
280,280,cadmium oxide,0.1,0.8,0.05,Se powder,0.03,0.4,0.02,2.02,myrstic acid,0.55,1.94,0.41,None,0,None,0,0,0,octadecene,15.78,None,0,16.46,3,2-propanol and methanol,3.8,,535,550,None,Zinc Blende,TEM,Optical Materials. 2017 66 59 - 64
280,280,cadmium oxide,0.1,0.8,0.05,Se powder,0.03,0.4,0.02,2.02,myrstic acid,0.55,1.94,0.41,None,0,None,0,0,0,octadecene,15.78,None,0,16.46,5,2-propanol and methanol,4.2,,560,570,None,Zinc Blende,TEM,Optical Materials. 2017 66 59 - 64
280,280,cadmium oxide,0.1,0.8,0.05,Se powder,0.03,0.4,0.02,2.02,myrstic acid,0.55,1.94,0.41,None,0,None,0,0,0,octadecene,15.78,None,0,16.46,10,2-propanol and methanol,4.6,,575,580,None,Zinc Blende,TEM,Optical Materials. 2017 66 59 - 64
280,280,cadmium oxide,0.1,0.8,0.05,Se powder,0.03,0.4,0.02,2.02,myrstic acid,0.55,1.94,0.41,None,0,None,0,0,0,octadecene,15.78,None,0,16.46,40,2-propanol and methanol,4.7,,587,595,None,Zinc Blende,TEM,Optical Materials. 2017 66 59 - 64
70,170,cadmium acetate,0.13,0.56,0.03,Se powder,0.01,0.18,0.01,3.04,oleic acid,0.9,3.17,0.18,None,0,tributylphosphine,0.16,0.44,0.41,phenyl ether,14.98,None,0,16.18,3,methanol,2.1208,,475,507,None,Zinc Blende,absorbance spectra,Colloids and Surfaces A: Physicochem. Eng. Aspects 2006 272 111 - 116
70,170,cadmium acetate,0.13,0.56,0.03,Se powder,0.01,0.18,0.01,3.04,oleic acid,0.9,3.17,0.18,None,0,tributylphosphine,0.16,0.44,0.41,phenyl ether,14.98,None,0,16.18,7,methanol,2.25,,490,542,None,Zinc Blende,absorbance spectra,Colloids and Surfaces A: Physicochem. Eng. Aspects 2006 272 111 - 116
70,170,cadmium acetate,0.13,0.56,0.03,Se powder,0.01,0.18,0.01,3.04,oleic acid,0.9,3.17,0.18,None,0,tributylphosphine,0.16,0.44,0.41,phenyl ether,14.98,None,0,16.18,16,methanol,2.299,,495,525,None,Zinc Blende,absorbance spectra,Colloids and Surfaces A: Physicochem. Eng. Aspects 2006 272 111 - 116
70,170,cadmium acetate,0.13,0.56,0.03,Se powder,0.01,0.18,0.01,3.04,oleic acid,0.9,3.17,0.18,None,0,tributylphosphine,0.16,0.44,0.41,phenyl ether,14.98,None,0,16.18,24,methanol,2.4065,,505,530,None,Zinc Blende,absorbance spectra,Colloids and Surfaces A: Physicochem. Eng. Aspects 2006 272 111 - 116
70,170,cadmium acetate,0.13,0.56,0.03,Se powder,0.01,0.18,0.01,3.04,oleic acid,0.9,3.17,0.18,None,0,tributylphosphine,0.16,0.44,0.41,phenyl ether,14.98,None,0,16.18,36,methanol,2.4527,,510,535,None,Zinc Blende,absorbance spectra,Colloids and Surfaces A: Physicochem. Eng. Aspects 2006 272 111 - 116
70,170,cadmium acetate,0.13,0.56,0.03,Se powder,0.01,0.18,0.01,3.04,oleic acid,0.9,3.17,0.18,None,0,tributylphosphine,0.16,0.44,0.41,phenyl ether,14.98,None,0,16.18,50,methanol,2.4664,,512,540,None,Zinc Blende,absorbance spectra,Colloids and Surfaces A: Physicochem. Eng. Aspects 2006 272 111 - 116
70,140,cadmium acetate,0.13,0.56,0.03,Se powder,0.01,0.18,0.01,3.04,oleic acid,0.9,3.17,0.18,None,0,tributylphosphine,0.16,0.44,0.41,phenyl ether,14.98,None,0,16.18,3,methanol,1.9138,,445,490,None,Zinc Blende,absorbance spectra,Colloids and Surfaces A: Physicochem. Eng. Aspects 2006 272 111 - 116
70,140,cadmium acetate,0.13,0.56,0.03,Se powder,0.01,0.18,0.01,3.04,oleic acid,0.9,3.17,0.18,None,0,tributylphosphine,0.16,0.44,0.41,phenyl ether,14.98,None,0,16.18,7,methanol,2.0272,,460,500,None,Zinc Blende,absorbance spectra,Colloids and Surfaces A: Physicochem. Eng. Aspects 2006 272 111 - 116
70,140,cadmium acetate,0.13,0.56,0.03,Se powder,0.01,0.18,0.01,3.04,oleic acid,0.9,3.17,0.18,None,0,tributylphosphine,0.16,0.44,0.41,phenyl ether,14.98,None,0,16.18,16,methanol,2.1516,,477,505,None,Zinc Blende,absorbance spectra,Colloids and Surfaces A: Physicochem. Eng. Aspects 2006 272 111 - 116
70,140,cadmium acetate,0.13,0.56,0.03,Se powder,0.01,0.18,0.01,3.04,oleic acid,0.9,3.17,0.18,None,0,tributylphosphine,0.16,0.44,0.41,phenyl ether,14.98,None,0,16.18,24,methanol,2.2015,,480,513,None,Zinc Blende,absorbance spectra,Colloids and Surfaces A: Physicochem. Eng. Aspects 2006 272 111 - 116
70,140,cadmium acetate,0.13,0.56,0.03,Se powder,0.01,0.18,0.01,3.04,oleic acid,0.9,3.17,0.18,None,0,tributylphosphine,0.16,0.44,0.41,phenyl ether,14.98,None,0,16.18,36,methanol,2.2939,,495,521,None,Zinc Blende,absorbance spectra,Colloids and Surfaces A: Physicochem. Eng. Aspects 2006 272 111 - 116
70,140,cadmium acetate,0.13,0.56,0.03,Se powder,0.01,0.18,0.01,3.04,oleic acid,0.9,3.17,0.18,None,0,tributylphosphine,0.16,0.44,0.41,phenyl ether,14.98,None,0,16.18,50,methanol,2.3523,,503,525,None,Zinc Blende,absorbance spectra,Colloids and Surfaces A: Physicochem. Eng. Aspects 2006 272 111 - 116
70,110,cadmium acetate,0.13,0.56,0.03,Se powder,0.01,0.18,0.01,3.04,oleic acid,0.9,3.17,0.18,None,0,tributylphosphine,0.16,0.44,0.41,phenyl ether,14.98,None,0,16.18,16,methanol,1.9458,,455,490,None,Zinc Blende,absorbance spectra,Colloids and Surfaces A: Physicochem. Eng. Aspects 2006 272 111 - 116
