,Unnamed: 0,Growth Temp (Celsius),Metal_mmol (mmol),Chalcogen_mmol (mmol),CA_mmol (mmol),Amines_mmol (mmol),Phosphines_mmol (mmol),S_I_amount (g),S_II_amount (g),Time_min (min),x0_cadmium acetate,x0_cadmium acetate dihydrate,x0_cadmium oxide,x0_cadmium stearate,x0_dimethylcadmium,x1_None,x1_benzoic acid,x1_dodecylphosphonic acid,x1_ethylphosphonic acid,x1_lauric acid,x1_myrstic acid,x1_oleic acid,x1_stearic acid,x2_2-6-dimethylpyridine,x2_None,x2_aniline,x2_benzylamine,x2_dioctylamine/hexadecylamine,x2_dodecylamine,x2_heptylamine,x2_hexadecylamine,x2_octadecylamine,x2_octylamine,x2_oleylamine,x2_pyridine,x2_trioctylamine,x3_None,x3_diphenylphosphine,x3_tributylphosphine,x3_trioctylphosphine,x3_triphenylphosphine,x4_None,x4_liquid parafin,x4_octadecene,x4_phenyl ether,x4_trioctylphosphine oxide,x5_None,x5_phosphinic acid,x5_trioctylphosphine oxide,Diameter_nm,Absorbance max (nm),PL max (nm)
0,0,1.105102786,-0.43748622,-0.2437792,-0.525436685,-0.416112406,-0.165454919,-0.123360132,-0.302087419,-0.226076969,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3.41,566,575
1,1,-0.062540435,-0.47202717,-0.436360531,-0.305510258,-0.498128738,-0.375670941,-0.241193293,-0.302087419,-0.23546254,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.5,474,617
2,2,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.451959013,-0.527427354,-0.302087419,-0.23546254,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1.99,450.4,497
3,3,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.445601674,-0.527427354,-0.302087419,-0.23546254,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.13,471.6,510
4,4,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.445601674,-0.527427354,-0.302087419,-0.234419699,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.27,486,517
5,5,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.445601674,-0.527427354,-0.302087419,-0.232334017,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.53,491.6,522
6,6,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.445601674,-0.527427354,-0.302087419,-0.226076969,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.71,513.8,532
7,7,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.445601674,-0.527427354,-0.302087419,-0.205220145,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.91,526.4,547
8,8,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.445601674,-0.527427354,-0.302087419,-0.173934909,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3.02,554.6,550
9,9,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.445601674,-0.527427354,-0.302087419,-0.142649673,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3.02,554.6,549
10,10,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.445601674,-0.527427354,-0.302087419,-0.111364437,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3.02,554.6,548
11,11,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.401100298,-0.527427354,-0.302087419,-0.23546254,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.98,533.6,549
12,12,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.401100298,-0.527427354,-0.302087419,-0.234419699,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3.21,570,560
13,13,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.401100298,-0.527427354,-0.302087419,-0.232334017,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3.43,574.4,582
14,14,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.401100298,-0.527427354,-0.302087419,-0.226076969,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4.07,583.4,593
15,15,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.401100298,-0.527427354,-0.302087419,-0.205220145,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4.95,618,602
16,16,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.401100298,-0.527427354,-0.302087419,-0.173934909,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,5.41,632,603
17,17,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.401100298,-0.527427354,-0.302087419,-0.142649673,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,5.49,632,603
18,18,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.401100298,-0.527427354,-0.302087419,-0.111364437,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,5.55,632,604
19,19,0.404516853,-0.371858416,-0.550992276,0.129712567,-0.498128738,-0.264629413,-0.681811133,-0.302087419,-0.236150815,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2.6,526,556
20,20,0.404516853,-0.371858416,-0.550992276,0.129712567,-0.498128738,-0.264629413,-0.681811133,-0.302087419,-0.235796249,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3.2,559,580
21,21,0.404516853,-0.371858416,-0.550992276,0.129712567,-0.498128738,-0.264629413,-0.681811133,-0.302087419,-0.235087117,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3.6,574,598
22,22,0.404516853,-0.371858416,-0.550992276,0.129712567,-0.498128738,-0.264629413,-0.681811133,-0.302087419,-0.234419699,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3.9,582,601
23,23,0.482359735,0.381134285,0.696201108,6.075828661,-0.498128738,0.119353885,-0.681811133,-0.302087419,-0.235566824,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3.23,556,562
24,24,0.482359735,0.381134285,0.696201108,6.075828661,-0.498128738,0.119353885,-0.681811133,-0.302087419,-0.234795122,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3.61,570,577
25,25,0.482359735,0.381134285,0.696201108,6.075828661,-0.498128738,0.119353885,-0.681811133,-0.302087419,-0.234065133,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3.86,574,588
26,26,0.482359735,0.381134285,0.696201108,6.075828661,-0.498128738,0.119353885,-0.681811133,-0.302087419,-0.220862763,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4.74,605,624
27,27,0.326673972,-0.47202717,-0.564748085,-0.415473471,-0.498128738,-0.071366296,-0.461222987,-0.302087419,-0.194791733,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3.7,578,580
28,28,0.79373126,-0.282051947,-0.312558247,-0.157349296,4.22366865,0.737287271,-0.132853799,-0.302087419,-0.234419699,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3.7,577,600
29,29,0.79373126,-0.282051947,-0.312558247,-0.157349296,4.22366865,0.737287271,-0.132853799,-0.302087419,-0.235128831,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2.9,543,577
30,30,0.79373126,-0.282051947,-0.312558247,-0.157349296,4.22366865,0.737287271,-0.132853799,-0.302087419,-0.235817106,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2.69,530,547
31,31,0.79373126,-0.282051947,-0.312558247,-0.157349296,4.22366865,0.737287271,-0.132853799,-0.302087419,0.109717898,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2.39,506,505
32,32,0.015302447,-0.43748622,0.306453175,-0.455986234,-0.427711859,-0.071366296,-0.241193293,-0.302087419,-0.236331644,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.22,473,488
33,33,-0.296069079,-0.43748622,0.306453175,-0.455986234,-0.427711859,-0.071366296,-0.241193293,-0.302087419,-0.236331644,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1.9,459,477
34,34,-0.607440604,-0.43748622,0.306453175,-0.455986234,-0.427711859,-0.071366296,-0.241193293,-0.302087419,-0.236331644,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1.8,440,459
35,35,-0.918812129,-0.43748622,0.306453175,-0.455986234,-0.427711859,-0.071366296,-0.241193293,-0.302087419,-0.236331644,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1.6,427,454
36,36,0.170988209,4.104648651,3.919645771,-0.525436685,-0.498128738,4.303330831,0.478650048,-0.302087419,-0.226076969,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1.2,412,508.5714286
37,37,0.170988209,4.104648651,3.919645771,-0.525436685,-0.498128738,4.303330831,0.478650048,-0.302087419,-0.225034128,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1.6,461,508.5714286
38,38,0.170988209,4.104648651,3.919645771,-0.525436685,-0.498128738,4.303330831,0.478650048,-0.302087419,-0.223991287,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1.9,482,508.5714286
39,39,0.170988209,4.104648651,3.919645771,-0.525436685,-0.498128738,4.303330831,0.478650048,-0.302087419,-0.222948446,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2.3,519,512.7142857
40,40,0.170988209,4.104648651,3.919645771,-0.525436685,-0.498128738,4.303330831,0.478650048,-0.302087419,-0.221905605,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3.2,553,533.2857143
41,41,0.170988209,4.104648651,3.919645771,-0.525436685,-0.498128738,4.303330831,0.478650048,-0.302087419,-0.220862763,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3.7,571,544.7142857
42,42,0.170988209,4.104648651,3.919645771,-0.525436685,-0.498128738,4.303330831,0.478650048,-0.302087419,-0.219819922,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,5.3,608,562.5714286
43,43,0.170988209,4.104648651,3.919645771,-0.525436685,-0.498128738,4.303330831,0.478650048,-0.302087419,-0.218777081,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,5.1,641,562.5714286
44,44,0.170988209,4.104648651,3.919645771,-0.525436685,-0.498128738,4.303330831,0.478650048,-0.302087419,-0.21773424,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,6.5,658,562.5714286
45,45,0.170988209,4.104648651,3.919645771,-0.525436685,-0.498128738,4.303330831,0.478650048,-0.302087419,-0.216691399,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,8.3,681,562.5714286
46,46,0.170988209,4.104648651,3.919645771,-0.525436685,-0.498128738,4.303330831,0.478650048,-0.302087419,-0.215648557,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,11.5,685,562.5714286
47,47,0.015302447,0.184250872,0.297282636,-0.455986234,-0.459463896,-0.071366296,-0.241193293,-0.302087419,-0.236338527,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.13,480,489.7142857
48,48,0.015302447,0.184250872,0.297282636,-0.455986234,-0.459463896,-0.071366296,-0.241193293,-0.302087419,-0.23546254,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.31,500,524.5714286
49,49,0.015302447,0.184250872,0.297282636,-0.455986234,-0.459463896,-0.071366296,-0.241193293,-0.302087419,-0.232334017,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.59,525,535.5714286
50,50,0.015302447,0.184250872,0.297282636,-0.455986234,-0.459463896,-0.071366296,-0.241193293,-0.302087419,-0.219819922,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.84,550,540.2857143
51,51,0.015302447,0.184250872,0.297282636,-0.455986234,-0.459463896,-0.071366296,-0.241193293,-0.302087419,-0.169763544,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.91,552,540.2857143
52,52,1.105102786,-0.0402653,-0.156659074,-0.525436685,1.928074117,-0.262086477,0.108955485,-0.302087419,-0.198963098,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3.9,520,535
53,53,1.105102786,-0.0402653,-0.156659074,-0.525436685,1.928074117,-0.262086477,0.108955485,-0.302087419,-0.132221261,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4.07,548,558
54,54,1.105102786,-0.0402653,-0.156659074,-0.525436685,1.928074117,-0.262086477,0.108955485,-0.302087419,-0.027937141,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4.19,570,580
55,55,1.105102786,-0.0402653,-0.156659074,-0.525436685,1.928074117,-0.262086477,0.108955485,-0.302087419,0.076346979,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4.3,580,590
56,56,1.105102786,-0.0402653,-0.156659074,-0.525436685,1.928074117,-0.262086477,0.108955485,-0.302087419,0.1806311,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4.39,595,600
57,57,1.105102786,-0.0402653,-0.156659074,-0.525436685,1.928074117,-0.262086477,0.108955485,-0.302087419,0.239030207,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4.9,630,640
58,58,1.105102786,-0.0402653,-0.156659074,-0.525436685,1.928074117,-0.262086477,0.108955485,-0.302087419,0.28491522,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,5.05,640,650
59,59,0.326673972,-0.402945271,-0.473042689,-0.525436685,1.691950783,0.463497855,-0.402585632,-0.302087419,-0.236157072,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1.92,460,470
60,60,0.326673972,-0.402945271,-0.473042689,-0.525436685,1.691950783,0.463497855,-0.402585632,-0.302087419,-0.226076969,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2.87,540,550
61,61,0.326673972,-0.402945271,-0.473042689,-0.525436685,1.691950783,0.463497855,-0.402585632,-0.302087419,-0.205220145,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3.02,550,565
62,62,0.326673972,-0.402945271,-0.473042689,-0.525436685,1.691950783,0.463497855,-0.402585632,-0.302087419,-0.173934909,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3.15,555,570
63,63,0.326673972,-0.402945271,-0.473042689,-0.525436685,1.691950783,0.463497855,-0.402585632,-0.302087419,-0.111364437,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3.38,565,575
64,64,0.326673972,-0.402945271,-0.473042689,-0.525436685,1.691950783,0.463497855,-0.402585632,-0.302087419,0.138917452,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3.57,580,580
65,65,0.79373126,-0.230240523,-0.427189991,-0.300880227,-0.498128738,-0.451959013,0.199424547,-0.302087419,-0.236442811,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1.3,410,435
66,66,0.79373126,-0.230240523,-0.427189991,-0.300880227,-0.498128738,-0.451959013,0.199424547,-0.302087419,-0.236338527,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1.7,435,455
67,67,0.79373126,-0.230240523,-0.427189991,-0.300880227,-0.498128738,-0.451959013,0.199424547,-0.302087419,-0.236150815,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2.1,470,480
68,68,0.79373126,-0.230240523,-0.427189991,-0.300880227,-0.498128738,-0.451959013,0.199424547,-0.302087419,-0.235817106,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2.5,490,515
69,69,0.79373126,-0.230240523,-0.427189991,-0.300880227,-0.498128738,-0.451959013,0.199424547,-0.302087419,-0.23546254,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2.8,508,525
70,70,0.79373126,-0.230240523,-0.427189991,-0.300880227,-0.498128738,-0.451959013,0.199424547,-0.302087419,-0.235107974,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2.9,512,528
71,71,0.79373126,-0.230240523,-0.427189991,-0.300880227,-0.498128738,-0.451959013,0.199424547,-0.302087419,-0.234774265,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3.1,520,530
72,72,0.79373126,-0.230240523,-0.427189991,-0.300880227,-0.498128738,-0.451959013,0.199424547,-0.302087419,-0.234419699,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3.3,523,535
73,73,0.79373126,-0.230240523,-0.427189991,-0.300880227,-0.498128738,-0.451959013,0.199424547,-0.302087419,-0.230248334,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3.8,535,550
74,74,0.79373126,-0.230240523,-0.427189991,-0.300880227,-0.498128738,-0.451959013,0.199424547,-0.302087419,-0.226076969,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,4.2,560,570
75,75,0.79373126,-0.230240523,-0.427189991,-0.300880227,-0.498128738,-0.451959013,0.199424547,-0.302087419,-0.215648557,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,4.6,575,580
